id,title,authors,year,venue,url,area,relevance_to_project,adversarial_note
1,Flow Matching for Generative Modeling,Yaron Lipman; Ricky T. Q. Chen; Heli Ben-Hamu; Maximilian Nickel; Matt Le,2023,ICLR,https://arxiv.org/abs/2210.02747,flow matching,Introduces simulation-free CNF training by vector-field regression.,Does not study inference-time reranking or world-model value exploitation.
2,Flow Straight and Fast: Learning to Generate and Transfer Data with Rectified Flow,Xingchao Liu; Chengyue Gong; Qiang Liu,2023,ICLR,https://arxiv.org/abs/2209.03003,rectified flow,Defines straight-line transport training that motivates the generator used here.,Efficiency and straightness claims leave open downstream selection failures.
3,Scaling Laws for Reward Model Overoptimization,Leo Gao; John Schulman; Jacob Hilton,2023,ICML,https://arxiv.org/abs/2210.10760,Best-of-N and reward hacking,Directly measures Best-of-N proxy overoptimization.,"Language-model setting, not continuous trajectory world models."
4,Regularized Best-of-N Sampling to Mitigate Reward Hacking for Language Model Alignment,Yuu Jinnai; et al.,2024,arXiv,https://arxiv.org/abs/2404.01054,Best-of-N repair,Shows that regularizing Best-of-N can reduce proxy exploitation.,"Our repair must be framed as an adaptation, not a new general principle."
5,World Models,David Ha; Juergen Schmidhuber,2018,NeurIPS workshop,https://arxiv.org/abs/1803.10122,world models,Classic latent dynamics motivation for planning inside a model.,Autoregressive latent dynamics differ from flow-generated trajectory models.
6,Learning Latent Dynamics for Planning from Pixels,Danijar Hafner; Timothy Lillicrap; Ian Fischer; et al.,2019,ICML,https://arxiv.org/abs/1811.04551,world models,PlaNet demonstrates planning in learned latent dynamics.,Does not address reranking many generative rollouts by a brittle score.
7,Dream to Control: Learning Behaviors by Latent Imagination,Danijar Hafner; Timothy Lillicrap; Jimmy Ba; Mohammad Norouzi,2020,ICLR,https://arxiv.org/abs/1912.01603,world models,Dreamer connects learned world models to value learning.,Uses imagined rollouts differently from Best-of-N whole-trajectory selection.
8,Mastering Diverse Domains through World Models,Danijar Hafner; Jurgis Pasukonis; Jimmy Ba; Timothy Lillicrap,2023,arXiv,https://arxiv.org/abs/2301.04104,world models,DreamerV3 shows broad world-model control performance.,Strong baseline family; our toy setting is not competitive with it.
9,Diffuser: Diffusion Models for Offline Reinforcement Learning,Michael Janner; Yilun Du; Joshua Tenenbaum; Sergey Levine,2022,ICML,https://arxiv.org/abs/2205.09991,diffusion planning,Generates and optimizes trajectories with a diffusion model.,Closest planning analogue; any flow claim must distinguish transport sampler behavior.
10,Planning with Diffusion for Flexible Behavior Synthesis,Michael Janner; Yilun Du; Joshua B. Tenenbaum; Sergey Levine,2022,ICML,https://diffusion-planning.github.io/,diffusion planning,Shows planning can be cast as generative trajectory sampling.,Selection and guidance issues are already central in diffusion planning.
11,Is Conditional Generative Modeling all you need for Decision Making?,Ajay; Du; Gupta; Tenenbaum; Jaakkola; Agrawal,2023,ICLR,https://arxiv.org/abs/2211.15657,decision diffusion,Decision Diffuser conditions trajectories on returns/goals.,Conditioning is not identical to post-hoc Best-of-N reranking.
12,"TD-MPC2: Scalable, Robust World Models for Continuous Control",Nicklas Hansen; Hao Su; Xiaolong Wang,2024,ICLR,https://arxiv.org/abs/2310.16828,model-based RL,Modern strong latent model-based control baseline.,"Trajectory flow generator here is a diagnostic toy, not a TD-MPC replacement."
13,EfficientZero: Mastering Atari Games with Limited Data,Weirui Ye; Shaohuai Liu; Thanard Kurutach; Pieter Abbeel; Yang Gao,2021,ICLR,https://arxiv.org/abs/2111.00210,model-based RL,Shows model-based planning can be sample-efficient.,Tree-search dynamics are distinct from whole-trajectory generative reranking.
14,Consistency Models,Yang Song; Prafulla Dhariwal; Mark Chen; Ilya Sutskever,2023,ICML,https://arxiv.org/abs/2303.01469,fast generative sampling,Few-step generation matters for candidate sampling budgets.,Does not directly analyze value-reranked world-model samples.
15,Stochastic Interpolants: A Unifying Framework for Flows and Diffusions,Michael S. Albergo; Nicholas M. Boffi; Eric Vanden-Eijnden,2023,arXiv,https://arxiv.org/abs/2303.08797,flow/diffusion theory,Places flow matching and diffusion under a shared interpolation view.,Broad unification reduces room for architecture-only novelty claims.
16,Building Normalizing Flows with Stochastic Interpolants,Michael S. Albergo; Eric Vanden-Eijnden,2023,ICLR,https://arxiv.org/abs/2209.15571,flow/diffusion theory,Another simulation-free bridge between data and base distributions.,The project should not present rectified flow as the only possible formalism.
17,Classifier-Free Diffusion Guidance,Jonathan Ho; Tim Salimans,2022,NeurIPS workshop,https://arxiv.org/abs/2207.12598,guided generation,Guidance is an important alternative to post-hoc reranking.,Best-of-N should be compared conceptually to guidance and conditioning.
18,Denoising Diffusion Probabilistic Models,Jonathan Ho; Ajay Jain; Pieter Abbeel,2020,NeurIPS,https://arxiv.org/abs/2006.11239,diffusion foundation,Diffusion sampling is the major neighboring generative baseline.,Any flow-specific claim needs more than generic generative sampling issues.
19,Score-Based Generative Modeling through Stochastic Differential Equations,Yang Song; Jascha Sohl-Dickstein; Diederik P. Kingma; et al.,2021,ICLR,https://arxiv.org/abs/2011.13456,diffusion foundation,Probability-flow ODEs connect diffusion and deterministic sampling.,Weakens claims that ODE sampling diagnostics are unique to rectified flow.
20,Understanding World or Predicting Future? A Comprehensive Survey of World Models,Tsinghua FIB Lab authors,2025,ACM Computing Surveys,https://github.com/tsinghua-fib-lab/World-Model,world-model survey,Provides a broad map of world-model variants and tasks.,Useful for scope control; the repo cannot cover all world-model families.
21,Simulation-free Schrödinger bridges via score and flow matching,Alexander Tong; Nikolay Malkin; Kilian Fatras; Lazar Atanackovic; Yanlei Zhang; Guillaume Huguet; Guy Wolf; Yoshua Bengio,2023,arXiv,http://arxiv.org/abs/2307.03672v3,flow/transport generative modeling,Retrieved by arXiv query: flow matching.,Checks whether the phenomenon is generic to transport samplers.
22,Flow Matching for Scalable Simulation-Based Inference,Maximilian Dax; Jonas Wildberger; Simon Buchholz; Stephen R. Green; Jakob H. Macke; Bernhard Schölkopf,2023,arXiv,http://arxiv.org/abs/2305.17161v2,flow/transport generative modeling,Retrieved by arXiv query: flow matching.,Checks whether the phenomenon is generic to transport samplers.
23,Flow Matching Ergodic Coverage,Max Muchen Sun; Allison Pinosky; Todd Murphey,2025,arXiv,http://arxiv.org/abs/2504.17872v1,flow/transport generative modeling,Retrieved by arXiv query: flow matching.,Checks whether the phenomenon is generic to transport samplers.
24,Dynamics-Level Watermarking of Flow Matching Models with Random Codes,Shuchan Wang,2026,arXiv,http://arxiv.org/abs/2605.16239v1,flow/transport generative modeling,Retrieved by arXiv query: flow matching.,Checks whether the phenomenon is generic to transport samplers.
25,Diffusion and Flow Matching Models for Tabular Data: A Survey,Zhong Li; Qi Huang; Lincen Yang; Jiayang Shi; Zhao Yang; Niki van Stein; Thomas Bäck; Matthijs van Leeuwen,2025,arXiv,http://arxiv.org/abs/2502.17119v2,flow/transport generative modeling,Retrieved by arXiv query: flow matching.,Checks whether the phenomenon is generic to transport samplers.
26,Flow Matching for Measure Transport and Feedback Stabilization of Control-Affine Systems,Karthik Elamvazhuthi,2025,arXiv,http://arxiv.org/abs/2510.02706v3,flow/transport generative modeling,Retrieved by arXiv query: flow matching.,Checks whether the phenomenon is generic to transport samplers.
27,Contrastive Flow Matching,George Stoica; Vivek Ramanujan; Xiang Fan; Ali Farhadi; Ranjay Krishna; Judy Hoffman,2025,arXiv,http://arxiv.org/abs/2506.05350v1,flow/transport generative modeling,Retrieved by arXiv query: flow matching.,Checks whether the phenomenon is generic to transport samplers.
